Artist,Track,acousticness,danceability,duration_ms,energy,followers,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence
Billy Grammer,Gotta Travel On,0.822,0.568,150493,0.512,196,1.14e-05,3,0.0941,-12.223,1,30,0.0764,177.144,4,0.892
Stonewall Jackson,Waterloo,0.482,0.463,146933,0.607,29414,0.0,8,0.117,-10.714,0,31,0.0299,203.85,4,0.964
Hawkshaw Hawkins,Slow Poke,0.712,0.637,178707,0.576,4678,0.00884,8,0.101,-12.716,1,35,0.0373,137.723,4,0.876
Johnny Cash,Ballad of a Teenage Queen,0.583,0.678,130827,0.407,3887951,0.0,3,0.121,-11.037,0,49,0.055,97.957,4,0.641
Ferlin Husky,Gone,0.816,0.641,129533,0.383,33497,2.12e-05,9,0.147,-9.542,1,30,0.0279,82.536,4,0.608
Ray Price,Invitation to the Blues,0.788,0.507,167416,0.358,72800,2.5e-05,3,0.0673,-12.085,1,35,0.0324,116.489,4,0.814
Marty Robbins,A White Sport Coat (with Ray Conniff),0.811,0.622,148600,0.648,228714,0.000212,1,0.146,-8.825,1,51,0.0308,114.055,4,0.808
Eddy Arnold,Cattle Call,0.943,0.428,162333,0.186,43450,3.83e-05,3,0.108,-12.286,1,46,0.0275,78.629,3,0.497
Faron Young,Goin' Steady,0.47,0.492,125267,0.428,49204,0.0,0,0.204,-13.132,1,41,0.0352,165.778,4,0.871
Red Foley,Midnight,0.823,0.691,192960,0.26,16928,4.8e-06,2,0.102,-14.15,1,34,0.0297,79.226,4,0.447
Webb Pierce,In The Jailhouse Now,0.884,0.66,125907,0.459,29998,0.0,4,0.117,-6.038,1,39,0.0342,79.71,4,0.843
Ernest Tubb,"Goodnight, Irene",0.847,0.671,181653,0.178,68845,0.0,4,0.261,-12.528,1,40,0.0482,128.919,3,0.589
Carl Perkins,Blue Suede Shoes,0.448,0.548,134446,0.675,93376,8.53e-05,4,0.297,-7.318,0,54,0.0364,168.891,4,0.965
Hank Williams,"Hey, Good Lookin' - Single Version",0.798,0.781,174373,0.363,511362,0.0,7,0.0714,-9.929,1,50,0.0389,141.046,4,0.892
Carl Smith,Hey Joe,0.329,0.737,149360,0.611,41,3.87e-06,2,0.0712,-8.686,1,36,0.0291,110.107,4,0.646
The Weavers,On Top Of Old Smokey,0.854,0.585,162813,0.447,116,0.0,11,0.257,-9.019,1,1,0.032,85.49,3,0.654
Johnny Cash,Folsom Prison Blues,0.0652,0.621,162653,0.524,3887951,0.00199,0,0.893,-15.269,1,70,0.0803,110.586,4,0.889
Webb Pierce,I Ain't Never - Single Version,0.727,0.936,113640,0.665,29998,1.71e-05,11,0.0972,-6.341,1,36,0.0307,122.579,4,0.965
Hank Williams,Half As Much,0.899,0.66,162933,0.327,511362,3.18e-05,9,0.0867,-10.069,1,35,0.0311,126.847,4,0.45
Kitty Wells,Making Believe - 1955 Single Version,0.748,0.543,173800,0.261,62083,0.0,5,0.238,-10.834,1,10,0.0257,102.615,4,0.43
Jim Reeves,Four Walls,0.848,0.388,168640,0.157,206209,2.41e-05,9,0.309,-15.955,1,43,0.0291,95.965,3,0.227
Lefty Frizzell,I Love You a Thousand Ways,0.642,0.675,163000,0.312,56713,0.0,4,0.0898,-9.351,1,30,0.0316,127.179,4,0.644
Hank Williams,Kaw-Liga - Single Version,0.836,0.631,153760,0.291,511362,0.0,11,0.212,-11.039,0,40,0.0342,111.341,4,0.72
Jimmie Rodgers,Honeycomb [Single Version],0.608,0.552,137107,0.463,1800,0.0,2,0.323,-11.568,1,34,0.106,198.372,4,0.909
Buck Owens,Under Your Spell Again,0.57,0.558,164240,0.436,158936,5.31e-06,9,0.0913,-5.792,1,40,0.0296,152.89,4,0.857
Margaret Whiting,I Love You Because,0.889,0.482,127747,0.257,12613,1.1e-06,5,0.13,-11.482,1,39,0.0281,97.12,4,0.586
Hank Thompson,The Wild Side Of Life,0.924,0.596,164520,0.144,19892,0.0,2,0.219,-10.307,1,44,0.0298,115.681,4,0.451
Slim Whitman,Indian Love Call,0.97,0.242,190653,0.261,24967,0.000253,3,0.1,-7.895,1,41,0.0335,203.913,4,0.386
Patsy Cline,Walkin' After Midnight,0.809,0.757,154667,0.196,456830,0.0,0,0.14,-15.395,1,56,0.0386,90.305,4,0.813
Moon Mullican,I'll Sail My Ship Alone,0.683,0.751,132627,0.411,880888,0.0,2,0.0934,-10.854,1,35,0.0308,93.939,4,0.967
Hank Williams,I Can't Help It (If I'm Still In Love With You) - Single Version,0.735,0.68,142840,0.204,511362,0.0,4,0.356,-10.575,1,34,0.0392,116.037,4,0.639
Johnny Horton,Honky Tonk Man,0.438,0.463,132000,0.53,103830,0.0,4,0.369,-14.109,1,43,0.0383,136.164,4,0.961
The Everly Brothers,Wake Up Little Susie,0.318,0.709,123520,0.62,405101,0.0,2,0.0426,-9.382,1,61,0.034,93.723,4,0.936
Don Gibson,I Can't Stop Loving You,0.946,0.595,154440,0.289,47381,8.98e-05,11,0.246,-11.768,1,42,0.0292,83.428,4,0.505
The Delmore Brothers,"Blues, Stay Away From Me",0.925,0.631,174693,0.339,3858,0.471,3,0.106,-9.796,1,37,0.0249,103.224,4,0.6
Duane Eddy,Rebel Rouser,0.789,0.388,153533,0.434,52429,0.954,7,0.728,-11.997,1,51,0.0354,206.313,4,0.873
Bobby Helms,My Special Angel,0.824,0.478,179293,0.29,13508,0.0,1,0.114,-8.591,1,43,0.0243,79.111,4,0.375
Ray Price,Heartaches By The Number,0.639,0.515,176627,0.603,72800,0.0,10,0.121,-6.246,1,48,0.0318,127.151,4,0.892
