YEAR,ID1,ArtistName,SongTitle
,535,clarence carter,patches
,536,creedence clearwater revival,lookin out my back door
,537,brook benton,rainy night in georgia
,538,kenny rogers  the first edition,somethings burning
,539,chairmen of the board,give me just a little more time
,540,edison lighthouse,love grows where my rosemary goes
,541,the beatles,the long and winding road
,542,anne murray,snowbird
,543,marmalade,reflections of my life
,544,eddie holman,hey there lonely girl
,545,the jaggerz,the rapper
,546,the hollies,he aint heavy hes my brother
,547,alive n kickin,tighter tighter
,548,badfinger,come and get it
,549,simon  garfunkel,cecilia
,550,charles wright  the watts 103rd street rhythm band,love land
,551,tyrone davis,turn back the hands of time
,552,the kinks,lola
,553,mungo jerry,in the summertime
,554,r dean taylor,indiana wants me
,555,rare earth,i know im losing you
,556,bobby sherman,easy come easy go
,557,charles wright  the watts 103rd street rhythm band,express yourself
,558,the four tops,still water love
,559,chicago,make me smile
,560,frijid pink,the house of the rising sun
,561,chicago,25 or 6 to 4
,562,white plains,my baby loves lovin
,563,the friends of distinction,love or let me be lonely
,564,the brotherhood of man,united we stand
,565,the carpenters,weve only just begun
,566,mark lindsay,arizona
,567,james taylor,fire and rain
,568,gene chandler,groovy situation
,569,santana,evil ways
,570,the guess who,no time
,571,the delfonics,didnt i blow your mind this time
,572,elvis presley,the wonder of you
,573,creedence clearwater revival,up around the bend
,574,ronnie dyson,if you let me make love to you then why cant i touch you
,575,bj thomas,i just cant help believing
,576,the spinners,its a shame
,577,bobbi martin,for the love of him
,578,mountain,mississippi queen
,579,ike  tina turner,i want to take you higher
,580,joe cocker,the letter
,581,tee set,ma belle amie
,582,the originals,the bells
,583,christie,yellow river
,584,100 proof aged in soul,somebodys been sleeping
,585,the ides of march,vehicle
,586,the pipkins,gimme dat ding
,587,robin mcnamara,lay a little lovin on me
,588,the supremes,up the ladder to the roof
,589,creedence clearwater revival,travelin band
,590,the sandpipers,come saturday morning
,591,the temptations,psychedelic shack
,592,tom jones,without love there is nothing
,593,pacific gas  electric,are you ready
,594,crosby stills nash  young,woodstock
,595,dionne warwick,ill never fall in love again
,596,the new seekers,look what theyve done to my song ma
,597,joe south,walk a mile in my shoes
,598,bb king,the thrill is gone
,599,glen campbell,its only make believe
,600,aretha franklin,call me
,601,three dog night,joy to the world
,602,rod stewart,maggie mayreason to believe
,603,carole king,its too latei feel the earth move
,604,the osmonds,one bad apple
,605,bee gees,how can you mend a broken heart
,606,paul revere  the raiders,indian reservation the lament of the cherokee reservation indian
,607,donny osmond,go away little girl
,608,john denver,take me home country roads
,609,the temptations,just my imagination running away with me
,610,tony orlando and dawn,knock three times
,611,janis joplin,me and bobby mcgee
,612,al green,tired of being alone
,613,honey cone,want ads
,614,the undisputed truth,smiling faces sometimes
,615,cornelius brothers  sister rose,treat her like a lady
,616,james taylor,youve got a friend
,617,jean knight,mr big stuff
,618,the rolling stones,brown sugar
,619,lee michaels,do you know what i mean
,620,joan baez,the night they drove old dixie down
,621,marvin gaye,whats going on
,622,paul  linda mccartney,uncle albertadmiral halsey
,623,bill withers,aint no sunshine
,624,five man electrical band,signs
,625,tom jones,shes a lady
,626,murray head  the trindad singers,superstar
,627,the free movement,ive found someone of my own
,628,jerry reed,amos moses
,629,the grass roots,temptation eyes
,630,the carpenters,superstar
